pop_id,component,region,type,size,cont_out,cont_in,cont_exc_out,cont_inh_out,cont_exc_in,cont_inh_in,elec_out,elec_in,elec_exc_out,elec_inh_out,elec_exc_in,elec_inh_in,total_out,total_in,inputs,exc_inputs,inh_inputs,cont_out_density,cont_in_density,elec_out_density,elec_in_density,input_density,exc_input_density,inh_input_density
M2b_bAC217_L6_MC_792eb41cce_0_0,bAC217_L6_MC_792eb41cce_0_0,M2b,inh,52,212,0,0,212,0,0,232,232,0,232,0,232,444,232,6,0,6,4.076923076923077,0.0,4.461538461538462,4.461538461538462,0.11538461538461539,0.0,0.11538461538461539
S1a_bAC217_L5_DBC_4765d943f4_0_0,bAC217_L5_DBC_4765d943f4_0_0,S1a,inh,25,0,0,0,0,0,0,165,165,0,165,0,165,165,165,3,0,3,0.0,0.0,6.6,6.6,0.12,0.0,0.12
M1a_bIR215_L4_BTC_4e26f3a393_0_0,bIR215_L4_BTC_4e26f3a393_0_0,M1a,inh,21,0,0,0,0,0,0,132,132,0,132,0,132,132,132,2,0,2,0.0,0.0,6.285714285714286,6.285714285714286,0.09523809523809523,0.0,0.09523809523809523
S1b_bAC217_L23_BP_472b717f1f_0_0,bAC217_L23_BP_472b717f1f_0_0,S1b,inh,36,0,0,0,0,0,0,240,240,0,240,0,240,240,240,4,0,4,0.0,0.0,6.666666666666667,6.666666666666667,0.1111111111111111,0.0,0.1111111111111111
S1a_bAC217_L5_MC_cc2a170ef6_0_0,bAC217_L5_MC_cc2a170ef6_0_0,S1a,inh,25,0,374,0,0,186,188,165,165,0,165,0,165,165,539,3,0,3,0.0,14.96,6.6,6.6,0.12,0.0,0.12
M2b_bAC217_L4_BP_8c9cdc6683_0_0,bAC217_L4_BP_8c9cdc6683_0_0,M2b,inh,21,176,0,0,176,0,0,88,88,0,88,0,88,264,88,2,0,2,8.380952380952381,0.0,4.190476190476191,4.190476190476191,0.09523809523809523,0.0,0.09523809523809523
S1a_bIR215_L5_NBC_cb87ec754a_0_0,bIR215_L5_NBC_cb87ec754a_0_0,S1a,inh,25,0,192,0,0,192,0,165,165,0,165,0,165,165,357,3,0,3,0.0,7.68,6.6,6.6,0.12,0.0,0.12
M2a_bAC217_L4_MC_2eb83e1eed_0_0,bAC217_L4_MC_2eb83e1eed_0_0,M2a,inh,21,0,174,0,0,174,0,88,88,0,88,0,88,88,262,2,0,2,0.0,8.285714285714286,4.190476190476191,4.190476190476191,0.09523809523809523,0.0,0.09523809523809523
M1b_bAC217_L6_MC_792eb41cce_0_0,bAC217_L6_MC_792eb41cce_0_0,M1b,inh,52,0,0,0,0,0,0,348,348,0,348,0,348,348,348,6,0,6,0.0,0.0,6.6923076923076925,6.6923076923076925,0.11538461538461539,0.0,0.11538461538461539
M1a_bAC217_L5_DBC_4765d943f4_0_0,bAC217_L5_DBC_4765d943f4_0_0,M1a,inh,25,0,0,0,0,0,0,165,165,0,165,0,165,165,165,3,0,3,0.0,0.0,6.6,6.6,0.12,0.0,0.12
