0.000000e+00	-8.800000e-02	-8.800000e-02	-8.800000e-02	-8.800000e-02	-8.800000e-02	-8.800000e-02	-8.800000e-02	-8.800000e-02	-8.800000e-02	-8.800000e-02	-8.800000e-02	-8.800000e-02	-8.800000e-02	-8.800000e-02	-8.800000e-02	-8.800000e-02	
1.000000e-05	-8.791647e-02	-8.789684e-02	-8.787720e-02	-8.785757e-02	-8.783794e-02	-8.781831e-02	-8.779867e-02	-8.777904e-02	-8.775941e-02	-8.773977e-02	-8.772014e-02	-8.770051e-02	-8.768087e-02	-8.766124e-02	-8.764161e-02	-8.762198e-02	
2.000000e-05	-8.783319e-02	-8.779581e-02	-8.775842e-02	-8.772103e-02	-8.768365e-02	-8.764626e-02	-8.760887e-02	-8.757148e-02	-8.753410e-02	-8.749671e-02	-8.745932e-02	-8.742193e-02	-8.738455e-02	-8.734716e-02	-8.730977e-02	-8.727238e-02	
3.000000e-05	-8.775650e-02	-8.770289e-02	-8.764928e-02	-8.759567e-02	-8.754205e-02	-8.748844e-02	-8.743483e-02	-8.738122e-02	-8.732761e-02	-8.727400e-02	-8.722038e-02	-8.716677e-02	-8.711316e-02	-8.705955e-02	-8.700594e-02	-8.695233e-02	
4.000000e-05	-8.768519e-02	-8.761662e-02	-8.754804e-02	-8.747946e-02	-8.741088e-02	-8.734231e-02	-8.727373e-02	-8.720515e-02	-8.713658e-02	-8.706800e-02	-8.699942e-02	-8.693084e-02	-8.686227e-02	-8.679369e-02	-8.672511e-02	-8.665654e-02	
5.000000e-05	-8.761833e-02	-8.753583e-02	-8.745333e-02	-8.737083e-02	-8.728833e-02	-8.720583e-02	-8.712333e-02	-8.704083e-02	-8.695833e-02	-8.687583e-02	-8.679333e-02	-8.671084e-02	-8.662834e-02	-8.654584e-02	-8.646334e-02	-8.638084e-02	
6.000000e-05	-8.755516e-02	-8.745961e-02	-8.736406e-02	-8.726851e-02	-8.717296e-02	-8.707741e-02	-8.698186e-02	-8.688631e-02	-8.679076e-02	-8.669521e-02	-8.659966e-02	-8.650411e-02	-8.640856e-02	-8.631301e-02	-8.621746e-02	-8.612191e-02	
7.000000e-05	-8.749510e-02	-8.738723e-02	-8.727937e-02	-8.717150e-02	-8.706363e-02	-8.695577e-02	-8.684790e-02	-8.674004e-02	-8.663217e-02	-8.652431e-02	-8.641644e-02	-8.630858e-02	-8.620071e-02	-8.609284e-02	-8.598498e-02	-8.587711e-02	
8.000000e-05	-8.743765e-02	-8.731809e-02	-8.719854e-02	-8.707898e-02	-8.695943e-02	-8.683987e-02	-8.672032e-02	-8.660076e-02	-8.648120e-02	-8.636165e-02	-8.624209e-02	-8.612254e-02	-8.600298e-02	-8.588343e-02	-8.576387e-02	-8.564432e-02	
9.000000e-05	-8.738244e-02	-8.725173e-02	-8.712102e-02	-8.699031e-02	-8.685960e-02	-8.672889e-02	-8.659819e-02	-8.646748e-02	-8.633677e-02	-8.620606e-02	-8.607535e-02	-8.594464e-02	-8.581393e-02	-8.568322e-02	-8.555252e-02	-8.542181e-02	
1.000000e-04	-8.732915e-02	-8.718775e-02	-8.704636e-02	-8.690496e-02	-8.676356e-02	-8.662217e-02	-8.648077e-02	-8.633938e-02	-8.619798e-02	-8.605658e-02	-8.591519e-02	-8.577379e-02	-8.563239e-02	-8.549100e-02	-8.534960e-02	-8.520820e-02	
1.100000e-04	-8.727753e-02	-8.712586e-02	-8.697418e-02	-8.682250e-02	-8.667083e-02	-8.651915e-02	-8.636747e-02	-8.621580e-02	-8.606412e-02	-8.591244e-02	-8.576077e-02	-8.560909e-02	-8.545741e-02	-8.530573e-02	-8.515406e-02	-8.500238e-02	
1.200000e-04	-8.722738e-02	-8.706578e-02	-8.690419e-02	-8.674259e-02	-8.658099e-02	-8.641939e-02	-8.625779e-02	-8.609620e-02	-8.593460e-02	-8.577300e-02	-8.561140e-02	-8.544980e-02	-8.528821e-02	-8.512661e-02	-8.496501e-02	-8.480341e-02	
1.300000e-04	-8.717853e-02	-8.700733e-02	-8.683613e-02	-8.666493e-02	-8.649373e-02	-8.632253e-02	-8.615133e-02	-8.598013e-02	-8.580894e-02	-8.563774e-02	-8.546654e-02	-8.529534e-02	-8.512414e-02	-8.495294e-02	-8.478174e-02	-8.461054e-02	
1.400000e-04	-8.713083e-02	-8.695032e-02	-8.676981e-02	-8.658929e-02	-8.640878e-02	-8.622827e-02	-8.604775e-02	-8.586724e-02	-8.568673e-02	-8.550621e-02	-8.532570e-02	-8.514519e-02	-8.496467e-02	-8.478416e-02	-8.460364e-02	-8.442313e-02	
1.500000e-04	-8.708418e-02	-8.689461e-02	-8.670504e-02	-8.651548e-02	-8.632591e-02	-8.613634e-02	-8.594678e-02	-8.575721e-02	-8.556764e-02	-8.537807e-02	-8.518851e-02	-8.499894e-02	-8.480937e-02	-8.461980e-02	-8.443023e-02	-8.424066e-02	
1.600000e-04	-8.703846e-02	-8.684008e-02	-8.664170e-02	-8.644331e-02	-8.624493e-02	-8.604655e-02	-8.584816e-02	-8.564978e-02	-8.545140e-02	-8.525301e-02	-8.505463e-02	-8.485624e-02	-8.465786e-02	-8.445947e-02	-8.426109e-02	-8.406270e-02	
1.700000e-04	-8.699361e-02	-8.678663e-02	-8.657965e-02	-8.637267e-02	-8.616569e-02	-8.595870e-02	-8.575172e-02	-8.554474e-02	-8.533775e-02	-8.513077e-02	-8.492379e-02	-8.471680e-02	-8.450982e-02	-8.430283e-02	-8.409585e-02	-8.388886e-02	
1.800000e-04	-8.694955e-02	-8.673418e-02	-8.651880e-02	-8.630342e-02	-8.608804e-02	-8.587266e-02	-8.565728e-02	-8.544190e-02	-8.522651e-02	-8.501113e-02	-8.479575e-02	-8.458037e-02	-8.436499e-02	-8.414961e-02	-8.393422e-02	-8.371884e-02	
1.900000e-04	-8.690623e-02	-8.668264e-02	-8.645905e-02	-8.623546e-02	-8.601187e-02	-8.578828e-02	-8.556469e-02	-8.534110e-02	-8.511751e-02	-8.489391e-02	-8.467032e-02	-8.444673e-02	-8.422314e-02	-8.399954e-02	-8.377595e-02	-8.355235e-02	
2.000000e-04	-8.686358e-02	-8.663196e-02	-8.640033e-02	-8.616871e-02	-8.593708e-02	-8.570546e-02	-8.547383e-02	-8.524220e-02	-8.501058e-02	-8.477895e-02	-8.454732e-02	-8.431569e-02	-8.408406e-02	-8.385243e-02	-8.362080e-02	-8.338917e-02	
2.100000e-04	-8.682158e-02	-8.658208e-02	-8.634259e-02	-8.610309e-02	-8.586359e-02	-8.562409e-02	-8.538460e-02	-8.514510e-02	-8.490560e-02	-8.466610e-02	-8.442660e-02	-8.418710e-02	-8.394760e-02	-8.370810e-02	-8.346859e-02	-8.322909e-02	
2.200000e-04	-8.678017e-02	-8.653296e-02	-8.628575e-02	-8.603853e-02	-8.579132e-02	-8.554410e-02	-8.529689e-02	-8.504967e-02	-8.480246e-02	-8.455524e-02	-8.430802e-02	-8.406081e-02	-8.381359e-02	-8.356637e-02	-8.331915e-02	-8.307193e-02	
2.300000e-04	-8.673933e-02	-8.648455e-02	-8.622976e-02	-8.597498e-02	-8.572020e-02	-8.546541e-02	-8.521063e-02	-8.495584e-02	-8.470105e-02	-8.444627e-02	-8.419148e-02	-8.393669e-02	-8.368190e-02	-8.342711e-02	-8.317232e-02	-8.291752e-02	
2.400000e-04	-8.669902e-02	-8.643681e-02	-8.617459e-02	-8.591238e-02	-8.565017e-02	-8.538795e-02	-8.512573e-02	-8.486352e-02	-8.460130e-02	-8.433908e-02	-8.407686e-02	-8.381464e-02	-8.355242e-02	-8.329019e-02	-8.302797e-02	-8.276574e-02	
2.500000e-04	-8.665922e-02	-8.638971e-02	-8.612020e-02	-8.585069e-02	-8.558117e-02	-8.531166e-02	-8.504214e-02	-8.477263e-02	-8.450311e-02	-8.423359e-02	-8.396407e-02	-8.369455e-02	-8.342503e-02	-8.315551e-02	-8.288598e-02	-8.261646e-02	
2.600000e-04	-8.661990e-02	-8.634322e-02	-8.606654e-02	-8.578986e-02	-8.551317e-02	-8.523648e-02	-8.495980e-02	-8.468311e-02	-8.440642e-02	-8.412973e-02	-8.385304e-02	-8.357634e-02	-8.329965e-02	-8.302295e-02	-8.274625e-02	-8.246955e-02	
2.700000e-04	-8.658105e-02	-8.629732e-02	-8.601359e-02	-8.572985e-02	-8.544612e-02	-8.516238e-02	-8.487864e-02	-8.459490e-02	-8.431116e-02	-8.402742e-02	-8.374367e-02	-8.345993e-02	-8.317618e-02	-8.289243e-02	-8.260867e-02	-8.232492e-02	
2.800000e-04	-8.654264e-02	-8.625198e-02	-8.596131e-02	-8.567064e-02	-8.537997e-02	-8.508930e-02	-8.479862e-02	-8.450795e-02	-8.421727e-02	-8.392659e-02	-8.363591e-02	-8.334523e-02	-8.305454e-02	-8.276386e-02	-8.247317e-02	-8.218248e-02	
